Es necesario PIN para las compras con la tarjeta regalo MultiSeguros;TarjetasDePrepago

Cómo realizo una petición para un informe de solvencia;ProductosDeActivo

Cuánto dinero puedo usar con el disponible Family;liniaObertaWSLOE

Necesito revisar el cajetín de rechazados de la unidad de reintegros cajero Punt Groc;Cajeros

Cómo solicito el permiso por cumplimiento de un deber inexcusable;RecursosHumanos

Qué debo hacer para modificar una póliza de mascotas;SegurCaixa

Cómo localizo el descuadre contable;ArqueoYContabilidad

Qué debo hacer si tengo un atasco en el transporte de salida de los cajetines de la unidad de reintegros cajero Punt Groc;Cajeros

Cómo resuelvo una pensión en incidencias;RecaudacionYOtrasOperaciones

Por dónde informo de una avería de TPV;Comercios

Cómo aumento el límite de las disposiciones de efectivo en cajeros;liniaObertaWSLOE

SGC Alta de pacto por cliente;HerramientasDeGestionYComerciales

Cuál es la operativa para consultar que comisiones tienen las remesas de exportación;Extranjero

Cuál es la documentación que debo presentar para solicitar la desvinculación del 2017;RecursosHumanos

Cómo puedo modificar los datos de un proveedor de gastos del centro;ArchivoMttoYSuministros

Qué tipo de cambio se aplica en el préstamo de divisas;PrestamosYCoberturas

No localizo mi libreta y no sé que tengo que hacer;liniaObertaWSLOE

Cuáles son los seguros que puedo meter en un pack pymes;SegurCaixa

Cómo realizo la validación de la siniestralidad a un cliente no target en auto;SegurCaixa

Quiero hacer una donacion  a una ONG;HerramientasDeGestionYComerciales

Dónde encuentro la operativa para consulta de remesas de importación;Extranjero

Qué debo hacer para retener una póliza de salud;SegurCaixa

Por dónde anulo una transferencia;liniaObertaWSLOE

Cuánto tarda en recibirse la autorización para el pago de un cupón de la ONCE;RecaudacionYOtrasOperaciones

Dónde hay información sobre la campaña de la paga en Rentas Vitalicias;Seguros

Se pueden ver en el Portal los inmuebles de los que aún no tenemos la posesión;Buildingcenter

Se puede anular un cobro del IMSERSO pagado en días anteriores;DomiciliacionesTransferenciasPagos

Por dónde se amortiza un préstamo en divisas;PrestamosYCoberturas

Deseo saber qué es STP en una transferencia internacional;liniaObertaWSLOE

Qué periodo muestra el formulario de Compensación Total;RecursosHumanos

No tengo signos de puntuación en el Smartphone;Telefonia

Cuál es la operativa para ver las operaciones de un comercio;Comercios

Cómo avanzo el pago de la tarjeta de crédito;liniaObertaWSLOE

Dónde se encuentra la información de los descuentos de comercios;Comercios

Información de la promoción de incentivos por venta de seguros de vida;Seguros

Qué hacer si al teclear ccs me solicita nivel 4;Marketing

Cuándo se presenta el modelo 347;Valores

Cuánto cuesta sacar dinero de cajero en el extranjero;liniaObertaWSLOE

¿Cuál es la operativa para revocar un traspaso en un plan?;PlanesDePensiones

Qué importe me corresponde para libros en las ayudas universidad pública;RecursosHumanos

Cómo accedo la operativa SGL;It

Por dónde solicito los diferentes soportes de Vía T;Tarjetas

Cómo puede un comercio con más de un tpv tener un abono en cuenta por TPV;Comercios

¿Qué hace falta para ver planes de pensiones en Línea Abierta ?;LineaAbierta

Por donde modifico las condiciones de multifirma en Línea Abierta;LineaAbierta

Cuál es la operativa para realizar la compra de billetes a un cliente y que comisiones se aplican;Extranjero

Cómo consulto la composición en un seguro de inversión;Seguros

Se puede ver si la póliza de auto está incluida en pack;SegurCaixa

gasto empleado vehiculo propio;ArchivoMttoYSuministros

Tengo una factura en fac pendiente de abono ;ArchivoMttoYSuministros

R2B para aportaciones en Planes de pensiones EPSVS y PPAS;PlanesDePensiones

