¿Cómo simulo un Agroseguro de cereales?,PlanesDePensiones
Desvincular un contrato de LOE de un cedente de recibos financiados que está cancelado,FinanciacionEspecializada
GASTOS DEL EXPEDIENTE DE VALORES,Valores
Cuál es la operativa para que un cliente pueda emitir transferencias urgentes por Línea Abierta,LineaAbierta
anular peticion compra estrella mismo dia,Marketing
Cómo puedo resolver el descuadre de la oficina por el cobro de un recibo de préstamo,PrestamosYCoberturas
Cómo se puede hacer la recepción de los cheques pagarés y pagos domiciliados truncados por STR,ChequesYOid
Qué hacer cuando una transferencia internacional está bloqueada por la OFAC,TransferenciasAlExtranjero
Cómo se consultan los datos de los clientes con servicio domiciliario,Efectivo
Es posible consultar el diario de operaciones de antes del año 2005,It
Cómo pedir permisos para llamar a un número internacional o especial desde telefonía fija,Telefonia
Tengo devolver un recibo del seguro de negocio,SegurCaixa
Cómo retrocede  la cancelación de disponibilidad de un préstamo,PrestamosYCoberturas
Cómo se si tengo que activar la tarjeta regalo multiProtección,TarjetasDePrepago
Cómo se puede introducir un nuevo titular en la cuenta principal de empleado,RecursosHumanos
¿Cómo se consulta el NRC de un impuesto de Hacienda a devolver generado a un cliente?,MinisterioDeHacienda
Dónde consulto las cuentas incluidas en un contrato de Línea Abierta,LineaAbierta
Los incumplimientos de comercio de CNAE no informado,Comercios
Cómo puedo contactar con el Servicio de Asistencia de Cyberpac,Comercios
Cómo dejar sin identificadores de acceso a Línea Abierta a un cliente,LineaAbierta
Información de las pólizas de hogar que vienen de CAN,SegurCaixa
Qué debo hacer si tengo un atasco en el transporte principal de la unidad de reintegros cajero NCR,Cajeros
Procedimiento para anular la constitución de un aval dependiente,ProductosDeActivo
No sé cómo ver el detalle de las denegaciones que hay para tarjetas,Tarjetas
CARNET JOVE NO FINANCIERO CATAÑUNYA,Tarjetas
Los documentos del repositorio documental de un cliente se han quedado pendientes de revisar,Alfabetico
Qué hago si el cajero no funciona,Cajeros
Cómo puedo modificar un contrato de tarjeta para que no incremente automáticamente el límite de crédito,Tarjetas
De qué forma veo del coste para el cliente con tarifas contratadas,Comercios
Se puede anular un reintegro de billetes extranjeros en una cuenta en divisas,Extranjero
No puedo editar los contactos de mi móvil,Telefonia
Por qué me sale documentos pendientes de cargar cuando ya lo he cargado,ProductosDeActivo
calculo importes factura servicio de adquirencia,Comercios
Cómo puedo localizar una transferencia internacional recibida y que datos se pueden consultar,TransferenciasAlExtranjero
Tengo el incumplimiento de CNAE incorrecto,Alfabetico
canales de donativo campaña leche,ArchivoMttoYSuministros
Cuadre de cajero que no esta en oficina,ArqueoYContabilidad
Como se cambian los días de ruta de efectivo,Efectivo
¿Cómo refinanciar un contrato de empresa emisora CaixaBank?,ProductosDeActivo
"Traspasos Internos: PlanCaixa Tándem, EPSV o PPA",PlanesDePensiones
Cómo puedo consultar los números que han tocado en el sorteo de la cruz roja,Cajeros
Necesito saber cuándo se cobran las cuotas de las tarjetas,Tarjetas
Me voy de vacaciones y quiero activar el aviso de ausencia,It
"Cómo pagar la ""Lotería instantánea"" de la ONCE?",RecaudacionYOtrasOperaciones
Retroceder pagaré cargado en días anteriores,ChequesYOid
Cómo se pueden anular ficheros de pagos enviados a través de Línea Abierta,LineaAbierta
No me deja anular un modelo 696 de hacienda,MinisterioDeHacienda
Qué operativa debo seguir para constituir un seguro de cambio,Extranjero
Quiero cobrar un capital de fallecimiento de un Rentas Plan,PlanesDePensiones
Qué hacemos para retroceder el cargo de un pagaré que se ha realizado hoy en la cuenta por el centro 9880,ChequesYOid
¿cómo resolver un cliente con restricción operativa reto KYC?,Alfabetico
Es posible saber si un efecto está devuelto,FinanciacionEspecializada
No localizo el servicio que tengo que tramitar,ArchivoMttoYSuministros
Mi cliente tiene un contrato en fallido y quiere pagar deuda,ProductosDeActivo
Cómo cancelo una póliza de Cardif procedente de Barclays,Seguros
Cómo puedo se la forma de pago que tiene una tarjeta revolving,Tarjetas
 Pasos para refinanciar un préstamo Caixabank,ProductosDeActivo
La personalización de liquidación anula el cargo de liquidación si coincide el mismo día,Tarjetas
Puedo saber cómo actuar con una operación fraudulenta de comercio,Comercios
Como realizar la carga de billetes en cajeros Fujitsu,Cajeros
Se pueden combinar las órdenes de valores ,Valores
Cómo poner un usufructuario en un expediente de valores,Alfabetico
Quiero conectar por Banda ancha móvil y Vodafone no conecta en la smartpc,It
Necesito saber qué comercios pueden tener del servicio Taxfree,Comercios
Quiero saber que límite tengo en mi buzón de correo de Outlook,It
Qué puedo pedir una copia de la póliza de vida del BdV,Seguros
Cómo se contabilizan las facturas de morosidad por Trámite de facturas FAC,ArchivoMttoYSuministros
Cuál es la operativa para activar una tarjeta regalo,TarjetasDePrepago
Puede tener tarjeta de beneficiario la tarjeta Club Ahora,Tarjetas
Actuación para dar de alta una segunda hipoteca con primera de Caixa en un sia,ProductosDeActivo
Donde esta el codigo ISIN de los fondos,FondosDeInversion
Cuál es la operativa para imprimir el Swift de incidencia de una transferencia internacional,TransferenciasAlExtranjero
Tengo que enviar la documentación de un cobro no truncado de la Seguridad Social,RecaudacionYOtrasOperaciones
Qué importe le podemos financiar al cliente en una solicitud con garantía de finca rústica,PrestamosYCoberturas
De qué manera consulto la operativa de tarjeta monedero o Visa Cash,TarjetasDePrepago
Todos los clientes pueden iniciar un Caixagiros,TransferenciasAlExtranjero
Que es necesario para disfrutar de las ventajas del club ahora,Marketing
Cómo se debe anular un pedido de material,ArchivoMttoYSuministros
Cómo se procede si se ha ingresado un pagaré con un importe equivocado,ChequesYOid
Cómo rescato un PPI por ejecución de la vivienda principal,PlanesDePensiones
Cómo anular una transferencia hecha por PAG si ya pone emitida,DomiciliacionesTransferenciasPagos
¿Qué servicio puede ayudar al cliente para resolver dudas de Línea Abierta?,LineaAbierta
Mi cliente quiere que le guardemos su correspondencia en la oficina,Alfabetico
Cuál es el tipo de cambio que coge el sistema para el préstamo en divisas,PrestamosYCoberturas
Cómo doy de alta una segunda hipoteca en una solicitud de activo,ProductosDeActivo
Hay operativa para dar de alta un Cyberpac no seguro,Comercios
Qué partes del cajero Punt Groc debo revisar si tengo la unidad de reintegros fuera de servicio,Cajeros
Dónde puedo ver los tipos de referencia del interés para el Euribor,ProductosDeActivo
Como resolver una defuncion en una cartera gestionada de fondos de inversion,FondosDeInversion
Cómo se puede variar la modalidad de confirmación de pagos de una tarjeta en comercios desde el cajero,Cajeros
Características de la campaña negocios 2017,Marketing
Necesito crear una firma en Outlook 2007,It
Cómo realizo una factura de compra,Comercios
Cómo resolver la incidencia pendiente de una transferencia paralizada por la OFAC,TransferenciasAlExtranjero
Existe un histórico de abono de pensiones,RecaudacionYOtrasOperaciones
Se puede cancelar un depósito estrella,Ahorro
Debo contactar con la Seguridad Social para informar de la Adopción de un menor,RecursosHumanos
En qué consiste el ServiCash,Tarjetas
Qué requisitos existen en la campaña de banca Asociada,Marketing
Dónde puedo consultar la clasificación de una oficina,RecursosHumanos
Desconozco como personalizar la correspondencia de un cliente en caso de que no quiera recibirlo todo,ArchivoMttoYSuministros
Cómo puedo consultar las liquidaciones cobradas en una cuenta de crédito,CreditoLeasingRentingRiesgo
Se puede marcar un ordenante de recibos TIR para presentar recibos SEPA B2B,DomiciliacionesTransferenciasPagos
El recuento de efectivo realizado por la compañía no es correcto,Efectivo
Comercialización de los  planes de pensiones pymes,PlanesDePensiones
no recibo en mi telefono estranjero la clave para realizar una compra con tarjeta,Tarjetas
No puedo digitalizar en expedientes electrónicos,It
por que no se aplican los coeficientes reductores en las ventas de fondos de inversión,FondosDeInversion
como solicitar el saldo medio,Ahorro
que necesito saber sobre la liquidacion de valores y su registro,Valores
Cómo se envía dinero a un beneficiario de CaixaGiros por cajero,Cajeros
Se puede amortizar anticipadamente un VPO,PrestamosYCoberturas
No localizo en SOL el artículo que necesito,ArchivoMttoYSuministros
Información de planes de pensiones,PlanesDePensiones
cambiar cuenta de prestamo promocaixa,PrestamosYCoberturas
Quiero pedir billete extranjero,Extranjero
Cuántos días por libre disposición nos pertenecen por convenio,RecursosHumanos
cómo anular el ingreso de un cheque,ChequesYOid
incremento prima adeslas salud,SegurCaixa
¿Por qué no bonifica el pacto?,ProductosDeActivo
Cuáles son los teléfonos qué se pueden poner a un comercio,Comercios
Cómo accedo para simular un vida,Seguros
Cómo visualizar en Línea Abierta cuentas de firma reconocida,LineaAbierta
cambios en poliza seguro vida bdv,Seguros
Seguros de Vida  Circuito para el envío de documentación a VidaCaixa,Seguros
Por qué me dice solicitud negativa en el alta de la tarjeta International Transfer Agentes,Tarjetas
Necesito nuevas libretas de plazo,Ahorro
Cuantos titulares puedo tener en un Rentas Plan,PlanesDePensiones
No se ha enviado el extracto en papel de la liquidación de tarjetas por qué,Tarjetas
Cuál es la operativa para tramitar el saldo pendiente de una tarjeta con un vida,Seguros
Cómo se que correos contienen adjuntos en OWA,It
Reintegro a débito con tarjeta empresa no permite,Tarjetas
Pasos a seguir para aumentar el tamaño de la letra,It
¿como puedo solicitar un documento OP al archivo general de Caixabank',ArchivoMttoYSuministros
Qué coberturas tiene el hogar modalidad 20,SegurCaixa
Cuánto dinero se puede solicitar mensualmente,Efectivo
Cómo se anula una provisión de fondos,PrestamosYCoberturas
Necesito anular un reintegro contable de una cuenta en divisas,Extranjero
Cómo se consultan las pérdidas de Custodio de vehículos de cada concesionario de Crédito Stock por parte de CaixaBank,CreditoLeasingRentingRiesgo
Por dónde puedo retroceder la cancelación de un préstamo,PrestamosYCoberturas
Cuanto tiempo acumulan importe los ingresos en cuenta ajena,Ahorro
RECIBOS SEPA TIPOS DE RECIBOS,DomiciliacionesTransferenciasPagos
Qué es un Rentas Plan,PlanesDePensiones
Dimos de alta las bonificaciones de cobros de Seguridad Social a un cliente pero no se le han bonificado todavía,RecaudacionYOtrasOperaciones
A qué es debido que el importe de una garantía quede retenido en el COP,ProductosDeActivo
Cómo dar de alta el depósito de ahorro flexible,Ahorro
Tengo un sia con garantía provisional  Cómo puedo pasarla a definitiva,ProductosDeActivo
Qué condiciones reúnen los préstamos Click&Go,PrestamosYCoberturas
Al digitalizar MiFID el sistema me devuelve un error de proceso,Valores
El Smartphone se reinicia con frecuencia,Telefonia
Necesito poner más titulares en un producto,Alfabetico
En compra estrella dónde localizo el tracking logístico,Marketing
Por donde debo ir para actualizar el Smartphone Nokia 735,Telefonia
Cambiar modalidad de servicuenta,Ahorro
Cómo dar de baja un talonario de cheques,ChequesYOid
Que tiene que hacer un comercio cuando un cliente le presenta un vale del pack Family  o Club Ahora,Marketing
Puede mi cliente solicitar un cambio de API,Buildingcenter
Por donde doy de alta un pacto de bonificación en un préstamo o crédito,ProductosDeActivo
Quiero saber por que una transferencia es no STP,TransferenciasAlExtranjero
Quiero saber que fiscalidad tienen los artículos de campaña,Marketing
Cómo puedo anular la cancelación de un contrato de ahorro a la vista,Ahorro
como suscribir acciones nuevas si el cliente ya dispone de derechos,Valores
Al devolverle a mi cliente una transferencia emitida ha quedado en incidencias Por qué motivo,DomiciliacionesTransferenciasPagos
No me ha pedido la ráfaga en el cobro de un modelo de la AEAT,MinisterioDeHacienda
Incidencias con la valija de oficina,ArchivoMttoYSuministros
Características para designar a más de un titular en Rentas Plan,PlanesDePensiones
Hay forma de cancelar una tarjeta,Tarjetas
Cómo puedo pedir un extracto de cuentas en excel o Q43,LineaAbierta
Cómo puedo ceder billetes euro  por TEV,Efectivo
Solicitud de devolución artículo de material,ArchivoMttoYSuministros
Dónde consulto la bonificación de la tarifa TPV Negocios Captación 2016 después del periodo promocional,Comercios
Como puedo ver los artículos disponibles en compra estrella,Marketing
Cómo consultar toda la información de la visa Money,TarjetasDePrepago
Necesito totalizar los cajeros,ArqueoYContabilidad
Qué requisitos hay para poner  DSP de efectos gestionados por Cartera,FinanciacionEspecializada
No se que debo hacer con una remesa de diferencia del cajero,ArqueoYContabilidad
Qué debo hacer cancelar una póliza de salud,SegurCaixa
Dónde puedo consultar qué alertas tiene un comercio y las consecuencias de las mismas,Comercios
Planes de pensiones toda la información,PlanesDePensiones
Cómo solicitar duplicados de comunicados por RCC,ArchivoMttoYSuministros
ordenes condicionadas de mercado nacional orden On Stop Stop los,Valores
Es posible generar un contrato CMOF para un cliente que no sea SA o SL,PrestamosYCoberturas
Qué pasos debo seguir para anular una remesa de exportación iniciada en el día,Extranjero
Cómo se puede saber los titulares que se declaran en CIRBE,ProductosDeActivo
De qué manera solicito la tarjeta Visa Flash,TarjetasDePrepago
Las características de las tarjetas de qué forma las puedo consultar,Tarjetas
Cómo ver en Línea Abierta las plantillas de recibos online realizadas,LineaAbierta
Cómo dar de baja la señal 213-92 Bloqueo total operaciones Persona jurídica en constituciónsi la empresa se constituye,Alfabetico
Cómo se captura la firma de un cliente en el alta,Alfabetico
retaso en el pedido de compra estrella,Marketing
¿Es posible no intervenir una cuenta de crédito?,ProductosDeActivo
El cliente debe tener un modelo de relación concreto para disponer de muro,HerramientasDeGestionYComerciales
Qué requisitos he de cumplir para recibir ayuda para un máster,RecursosHumanos
Necesito saber las tarifas para comercios por reclamaciones de operaciones realizadas con tarjetas MasterCard,Comercios
Qué familias son admitidas en la línea de avales,ProductosDeActivo
El beneficiario de una transferencia internacional reclama que no ha recibido el abono de una transferencia emitida,TransferenciasAlExtranjero
Anular la remuneración en efectivo para siempre,Valores
¿De qué manera avanza el pago de una tarjeta el cliente en su Línea Abierta?,LineaAbierta
Por donde puedo ver el detalle de una remesa contable,ArqueoYContabilidad
Como hacer una reserva de moneda extranjera,Extranjero
Cómo se envía la documentación en el pago de un boleto de lotería nacional,RecaudacionYOtrasOperaciones
Cual es la ruta para dar de alta mi usuario con la tarjeta de línea abierta por la extranet,It
De qué manera envía el cliente por Línea Abierta un fichero de pagos con un programa propio,LineaAbierta
como puedo simular un seguro de auto,SegurCaixa
Cómo solventar incidencia de cajetines llenos en el reciclador,DispensadoresYRecicladores
Existe algún límite de actividades y formación,RecursosHumanos
Quiero hacer más de un CMOF para mi cliente,PrestamosYCoberturas
Se puede contratar un Vía T Bip&Drive,Tarjetas
Cómo se endosa una letra de cambio,FinanciacionEspecializada
¿Cómo puedo aceptar o rechazar la cesión de un incentivo o comisión?,Buildingcenter
Puedo tener tarjetas para empleados,RecursosHumanos
Necesito consultar las características de instalación del TPV,Comercios
Información de la Renta Vitalicia Tranquilidad,Seguros
Se puede tener la información de los TPV´s,Comercios
Puede fraccionar la tarjeta Visa Gold compras en Promo,Tarjetas
Quiero cancelar un comercio y no me deja,Comercios
En qué consiste el servicio de instalación exclusivo del televisor Samsung para restauración,Marketing
Es modificable un usuario autorizado de Línea Abierta para que pase a apoderado,LineaAbierta
¿Cómo donar a una ong con Bizum?,LineaAbierta
cambiar modalidad de cuenta a diplomatico,Alfabetico
Mi cliente tiene un orden periódica y necesita un justificante de la transferencia que se realiza todos los meses,DomiciliacionesTransferenciasPagos
Quiero saber cómo desistir el servicio de Nomina 15,Marketing
Un cliente quiere saber qué tipo de impuestos se pueden pagar en Línea Abierta,LineaAbierta
Toda la información del dividendo elección de CaixaBank,Valores
Necesito saber por qué un cliente no tiene abonado en cuenta un ingreso realizado por cajero,Cajeros
como puedo realizar pago matricula por el cajero,Cajeros
Puedo visualizar el descuento de fidelización del pack,SegurCaixa
Campaña infantil Súper Estuche Top Secret El cliente puede obtener más de un obsequio,Marketing
Reciclador GETRONICS con mensaje de error de atasco en la parte inferior,DispensadoresYRecicladores
Qué procedimiento se sigue para pagar en efectivo una orden de PAG que está en incidencias,DomiciliacionesTransferenciasPagos
Qué hago si tengo una libreta atascada en el cajero Punt Groc Fujitsu,Cajeros
Se puede dar de alta una familia en una línea de riesgos,CreditoLeasingRentingRiesgo
Cuáles son los requisitos válidos de un cheque,ChequesYOid
Me sale incumplimiento de la servicuenta pero el cliente sí cumple,Ahorro
No sé cuales son las condiciones de la Tarjeta Visa Electron IN,Tarjetas
Cómo se puede declarar un siniestro del hogar,SegurCaixa
Si hace más de un mes de un fichero de recibos anticipado podemos consultar el motivo de rechazo de unos efectos,FinanciacionEspecializada
Qué comisiones se aplican en una Transferencia Internacional,TransferenciasAlExtranjero
Cuáles son los trámite a realizar para iniciar una demanda judicial,ProductosDeActivo
Quiero ver las características del Carnet Joven Castilla-la Mancha prepago,TarjetasDePrepago
Donde localizo información de cómo emparejar el mando de la tv en compra estrella,Marketing
Cuando se cancela una financiación impagada y  que fecha valor se aplica,Extranjero
Se puede pedir el alta de un nuevo terminal fijo,Telefonia
Cómo puedo realizar un pago periódico todos los meses,DomiciliacionesTransferenciasPagos
¿Cuándo puedo dar copias de justificantes de reintegro?,ServiciosJuridicos
Como se resuelven los títulos que no cotizan,Valores
Qué hacer si no puedo desbloquear el reciclador Da vinci,DispensadoresYRecicladores
Cómo reponemos un cheque bancario que mi cliente ha perdido,ChequesYOid
¿Por qué mi cliente no tiene disponible Family?,ProductosDeActivo
Por dónde se pueden ver los poderes de un apoderado,ServiciosJuridicos
Desde qué opción puedo modificar la modalidad de confirmación de pagos de una tarjeta en comercios desde el cajero,Cajeros
Tengo una entrega de TIR en incidencias por límite y al aceptarla me pide nivel superior,DomiciliacionesTransferenciasPagos
Cómo puedo obtener un duplicado de una póliza de riesgo de Barclays Vida y Pensiones,Seguros
Incumplimiento de la cuenta negocio,Ahorro
Un autónomo puede ser beneficiario de un BEI,Convenios
como aumentar el disponible de una tarjeta de crédito,Tarjetas
En qué consiste la app CaixaBank Sign,LineaAbierta
Aspectos del VidaCaixa Inversión Mixto convertible 25,Seguros
Condiciones de la gama de Planes de Pensiones Proyección,PlanesDePensiones
Cómo verificar si un documento endosado es correcto,ChequesYOid
Cómo afecta al préstamo un cambio de vivienda,RecursosHumanos
Mi cliente me ha solicitado la liquidación de su derivado,PrestamosYCoberturas
Tarifa Intradia para clientes de Bolsa Abierta,Valores
Por dónde se consultan las devoluciones recibidas de cheques,ChequesYOid
Cuál es el procedimiento a seguir para consultar las existencias de moneda extranjera,ArqueoYContabilidad
Por dónde accedo para tratar la alerta de efectivo insuficiente,Cajeros
Puedo introducir el email de la oficina en un compra estrella,Marketing
Cómo realizo una renta de Seguros en un Plan de pensiones de Empleo,PlanesDePensiones
Qué tipo de documentos hay que subir en el repositorio documental,Alfabetico
Cómo anular la constitución de un Click&Go,PrestamosYCoberturas
Como se obtienen las imágenes gradadas,ArchivoMttoYSuministros
Cómo se da de alta una cuenta en Línea Abierta,LineaAbierta
